all sabhi
and aur
animal jaanvar
are hai
available upalabdh
bad bura
bag basta
bank bank
bed bhistar
big bada
bike bike
bird panchi
boat naav
book kitab
born janam
bread roti
bus bus
cake cake
car gadi
cigarette cigarette
city shehar
coffee coffee
cold thanda
college college
complete pura
crowd bheed
currency mudra
dance nachna
dark andhera
date tafik
day din
dead mrutau
deep gahera
destroy nahst
die marna
different alag
direction disha
dish thali
do karna
doctor chikitsak
dog kutta
door darwaza
down niche
easy aasan
eat khana
elephant haathi
emergency apatkal
equal barabar
evening sham
far dur
fast tej
from se
go jana
going jaraha
good aacha
grow badhne
hair baal
he vah
help madad
hot garam
hotel visharamalay
house ghar
how kaise
I mujhe
it ye
is hai
kitchen rasoighar
lion sheer
listen sunna
london london
love pyar
many bohut
medical davai
mountain pahad
mumbai mumbai
music sangeet
my mera
near pass
neck gala
now abhi
picture tasvir
place jagah
question sawaal
railway railway
rain barish
read padhna
rest vishram
restaurant bhojanalay
restaurant restaurant
road raasta
road rasta
school school
school shala
seat seat
see dekhna
she vah
sit baithk
sleep neend
smell gandh
snow barf
station sthan
style style
surprise ascharaya
tea chai
temple mandir
they ve
tiger bagh
toilet sauchaila
train railgaadi
transport parivahan
travel yatra
truck truck
urgent turant
want chahiye
want chahte
was tha
watch ghadi
where kahan
work kaam
you Aap
